cidade,area,quartos,wcs,vagas,andar,animal,mobilia,condominio,aluguel,iptu
Belo Horizonte,67,2,2,1,3,s,s,400,1612,59
São Paulo,40,1,1,1,-,s,n,0,1300,68
Rio de Janeiro,104,3,2,1,6,s,n,990,2500,125
São Paulo,50,2,1,1,5,s,n,420,1500,3
São Paulo,130,2,1,1,9,s,n,1159,3850,160
São Paulo,78,1,2,1,10,n,n,900,2440,167
Belo Horizonte,210,3,4,3,5,n,s,1817,10000,685
São Paulo,148,4,4,4,10,s,s,2580,2000,406
São Paulo,25,1,1,0,14,s,n,257,1650,0
Porto Alegre,62,1,1,0,3,s,n,150,900,13
São Paulo,85,3,2,2,12,s,n,900,3300,116
São Paulo,123,3,2,2,11,s,n,1342,2174,283
São Paulo,110,3,2,1,10,s,n,1000,4500,0
São Paulo,100,2,1,0,1,s,s,765,3300,0
São Paulo,35,1,1,1,14,n,n,1700,2000,275
Campinas,66,2,1,1,-,s,s,340,1050,47
São Paulo,78,1,1,0,2,s,n,420,2522,25
São Paulo,44,1,1,0,7,s,n,460,1700,0
Rio de Janeiro,25,1,1,0,11,n,s,350,2928,34
Belo Horizonte,100,3,1,2,2,s,n,300,1400,77
São Paulo,35,1,1,0,2,n,s,726,2800,200
Belo Horizonte,390,5,5,5,8,n,n,1300,8000,797
Campinas,47,1,1,0,1,s,s,380,550,14
Rio de Janeiro,57,1,1,1,2,s,n,2900,11500,959
São Paulo,300,4,4,3,-,s,s,0,5080,284
Rio de Janeiro,44,1,1,0,4,s,n,632,1700,86
São Paulo,87,2,2,1,5,s,n,2100,2975,117
São Paulo,200,2,2,0,-,s,n,0,3000,9
Campinas,60,2,1,0,-,n,n,0,800,138
São Paulo,195,4,3,4,7,s,n,1808,2700,1067
São Paulo,45,1,1,0,4,s,n,0,1000,0
São Paulo,495,5,5,4,11,n,n,3100,15000,2180
Rio de Janeiro,450,4,4,2,-,s,n,0,14000,1250
Rio de Janeiro,79,3,2,0,9,n,s,781,3500,183
Belo Horizonte,120,3,2,2,3,n,n,335,1300,166
Campinas,50,2,1,0,2,n,n,386,830,55
Rio de Janeiro,71,2,2,1,12,s,s,1170,3500,190
São Paulo,80,1,1,0,11,s,s,427,1900,0
São Paulo,35,1,1,0,5,n,s,450,1800,91
São Paulo,72,2,2,1,18,s,n,350,2500,125
São Paulo,210,3,4,4,2,n,n,1990,6375,625
São Paulo,208,3,3,3,4,s,s,2490,15000,1200
São Paulo,55,2,1,1,-,s,n,550,1250,0
São Paulo,110,3,2,2,14,n,s,1850,5500,341
São Paulo,130,3,2,2,-,s,n,0,3300,108
Rio de Janeiro,82,3,2,2,4,s,n,967,2200,92
Rio de Janeiro,150,2,1,0,2,s,n,450,1500,180
Porto Alegre,110,3,1,1,2,s,n,450,2700,83
Rio de Janeiro,98,2,1,0,1,s,n,560,3900,184
Rio de Janeiro,37,1,1,0,7,s,n,600,1840,247
Belo Horizonte,200,4,2,2,5,s,n,2341,4000,421
São Paulo,80,2,1,0,4,s,n,740,2200,92
São Paulo,386,4,6,3,21,s,n,3890,12750,1980
Rio de Janeiro,50,1,1,0,8,n,s,2300,1850,35
São Paulo,35,1,1,0,16,s,s,560,2999,103
São Paulo,24,2,2,1,13,s,n,993,5500,141
São Paulo,50,2,1,1,6,s,n,430,1305,49
Rio de Janeiro,102,3,2,1,4,s,n,1600,5000,38
Porto Alegre,225,3,3,2,3,s,n,1100,3800,192
São Paulo,176,3,4,3,4,s,n,1600,6500,775
Rio de Janeiro,24,1,1,0,12,n,n,445,2000,42
São Paulo,200,4,2,1,-,n,n,0,2500,334
São Paulo,35,1,1,0,-,s,n,0,1150,30
São Paulo,55,2,1,1,1,s,n,349,1450,0
São Paulo,250,2,1,0,-,s,n,0,1500,9
São Paulo,79,3,2,0,2,s,s,493,1250,78
Campinas,64,1,2,1,11,n,n,930,1540,68
São Paulo,360,4,5,4,-,n,s,0,10000,917
Campinas,46,1,1,1,5,s,s,1300,1950,0
Belo Horizonte,85,2,1,1,1,s,n,230,1000,61
Belo Horizonte,55,3,1,1,3,n,n,199,800,42
Rio de Janeiro,160,2,3,1,14,s,n,1486,1800,323
São Paulo,165,3,3,3,2,s,n,1660,2700,767
Rio de Janeiro,40,1,1,1,11,n,s,575,2500,128
São Paulo,80,2,2,1,-,n,n,0,2188,0
Porto Alegre,38,1,1,1,5,s,n,342,980,51
Campinas,165,3,2,0,-,s,n,0,3000,129
São Paulo,160,3,3,3,9,s,s,2400,10000,584
Campinas,157,3,5,3,1,s,n,2300,7000,442
São Paulo,68,2,2,2,8,s,s,1030,3430,236
Porto Alegre,48,2,1,1,3,s,n,400,1000,7
São Paulo,200,2,2,6,-,s,n,0,4500,292
Rio de Janeiro,62,2,2,1,5,s,s,585,1750,38
São Paulo,300,4,4,3,-,s,n,0,12900,584
São Paulo,77,1,2,1,29,s,s,750,7740,209
São Paulo,234,3,5,4,-,s,s,0,3680,400
São Paulo,200,4,4,4,-,s,n,0,4220,450
São Paulo,70,1,1,1,12,s,s,1000,3500,171
Porto Alegre,42,1,1,0,6,n,n,320,850,21
São Paulo,217,3,4,3,1,s,n,2884,6500,0
São Paulo,52,2,1,0,1,s,n,199,1000,30
Porto Alegre,61,1,1,0,-,s,n,80,1100,160
Rio de Janeiro,40,1,1,0,3,s,n,700,2800,100
Rio de Janeiro,35,1,1,0,10,n,n,498,1200,80
Porto Alegre,132,6,4,2,18,s,n,800,3400,117
São Paulo,600,4,6,3,-,s,s,200,12000,817
Porto Alegre,68,3,2,1,10,s,n,600,1600,76
São Paulo,170,3,3,4,-,s,n,0,3500,222
São Paulo,215,3,4,4,6,s,n,2859,6000,865
Rio de Janeiro,177,3,3,4,2,s,n,2700,6900,509
São Paulo,40,1,1,1,14,s,n,557,3000,95
São Paulo,70,2,1,1,13,s,n,761,2150,67
Belo Horizonte,55,2,1,1,2,n,s,200,1600,75
Belo Horizonte,70,2,1,2,1,n,n,80,1200,97
São Paulo,27,1,1,0,5,n,n,1404,3500,1
Rio de Janeiro,90,2,2,1,4,n,n,900,2700,105
São Paulo,46,1,1,0,14,n,s,1200,4300,292
São Paulo,45,1,1,1,14,n,s,2200,2300,167
Rio de Janeiro,46,2,1,0,1,s,n,352,1400,0
São Paulo,70,1,1,1,3,s,n,1000,2500,150
São Paulo,125,3,4,5,-,s,n,0,10000,666
Porto Alegre,62,2,1,0,4,s,n,282,940,38
Belo Horizonte,127,2,2,0,14,s,s,704,2000,158
Campinas,120,2,1,4,-,s,n,0,2400,59
Rio de Janeiro,110,3,2,0,10,n,s,1260,2950,303
São Paulo,91,2,3,2,5,n,n,2065,9800,500
Porto Alegre,58,1,1,1,4,s,s,350,2300,139
São Paulo,13,1,1,0,1,s,n,0,2200,5
Rio de Janeiro,60,2,2,1,10,s,n,700,2198,125
Campinas,40,1,1,1,1,s,n,790,1300,236
São Paulo,100,1,1,0,-,s,n,0,1530,84
Rio de Janeiro,60,2,1,1,2,s,n,550,1200,55
São Paulo,99,3,2,1,3,s,n,390,2500,90
Porto Alegre,75,2,1,0,9,s,n,450,1000,34
São Paulo,260,2,3,4,-,s,n,0,5500,142
São Paulo,85,2,1,0,4,s,s,620,2190,0
São Paulo,37,1,1,0,12,n,n,346,2900,69
São Paulo,50,1,1,0,-,s,n,0,1200,0
Belo Horizonte,50,2,1,0,-,n,n,0,750,59
São Paulo,37,1,1,0,-,n,n,0,900,75
Porto Alegre,91,3,2,2,3,s,n,400,3390,150
São Paulo,120,4,4,4,-,s,n,0,4000,0
Porto Alegre,55,1,1,1,14,n,s,460,3200,30
Rio de Janeiro,60,1,1,0,2,n,n,600,2300,140
Rio de Janeiro,46,1,1,0,5,s,s,380,1200,196
São Paulo,50,1,1,1,6,s,s,1000,1884,0
Rio de Janeiro,140,3,2,2,7,s,s,2320,7400,543
São Paulo,95,3,2,1,7,s,n,850,2300,0
São Paulo,55,2,1,1,19,s,s,608,2100,84
Campinas,137,3,2,1,4,s,n,1500,1800,250
São Paulo,147,4,2,0,8,s,n,1150,2800,258
Porto Alegre,34,1,1,1,6,s,s,180,1500,6
São Paulo,375,4,4,4,22,n,n,4916,4700,3025
São Paulo,253,3,5,5,9,s,n,2760,6750,1770
São Paulo,28,1,1,0,1,s,n,568,2150,0
Rio de Janeiro,30,1,1,0,2,s,s,433,1380,0
Campinas,48,2,1,1,5,s,n,263,1000,66
São Paulo,108,4,2,0,9,s,n,1013,5500,142
São Paulo,82,3,2,2,5,s,n,915,2100,252
São Paulo,160,4,3,3,3,s,n,1600,7000,542
São Paulo,136,3,3,2,1,n,n,1680,3200,525
Campinas,82,2,1,1,1,s,n,300,600,105
Campinas,80,3,1,1,1,s,n,380,1328,50
São Paulo,140,3,1,2,-,n,n,140,6000,273
São Paulo,60,1,2,0,-,s,n,0,1062,1
São Paulo,170,4,4,3,10,n,s,2493,5000,750
Porto Alegre,60,2,1,1,-,s,n,0,1400,96
São Paulo,450,4,6,2,-,s,n,0,4900,486
Porto Alegre,40,1,1,1,8,s,n,500,2200,50
Belo Horizonte,62,2,1,1,3,s,n,100,1050,84
Porto Alegre,107,3,3,2,6,s,n,1200,4270,250
São Paulo,250,3,4,3,13,s,n,2800,6000,834
São Paulo,61,2,1,0,1,n,n,230,1220,25
Rio de Janeiro,130,3,2,2,-,s,n,0,3000,167
São Paulo,109,3,2,2,13,s,n,1156,6500,319
São Paulo,248,3,4,4,2,s,n,3163,14000,966
São Paulo,60,1,2,2,6,s,n,700,3000,0
São Paulo,156,3,2,1,-,s,n,0,6400,59
Belo Horizonte,266,4,3,2,-,s,n,0,7500,236
Rio de Janeiro,264,4,4,1,2,n,s,3200,7000,1067
São Paulo,113,2,3,2,10,s,n,1400,13500,375
Belo Horizonte,136,4,3,3,9,s,n,1240,3900,434
São Paulo,80,2,1,0,-,n,n,0,1576,125
Campinas,113,2,1,1,8,s,n,670,1250,92
São Paulo,300,4,5,4,1,s,n,3600,7500,1334
São Paulo,150,2,2,3,2,n,s,4085,8000,570
São Paulo,25,1,1,0,1,n,n,0,800,25
Belo Horizonte,64,2,1,1,1,n,n,210,1200,0
São Paulo,33,1,1,0,14,s,n,500,3999,0
São Paulo,45,2,1,1,1,s,n,176,1300,64
Campinas,297,4,6,2,3,s,n,2800,2800,433
São Paulo,205,3,3,4,-,s,n,0,6500,667
Belo Horizonte,60,2,1,1,2,s,n,275,1200,97
Belo Horizonte,47,2,1,1,4,n,n,250,1300,0
Belo Horizonte,360,1,1,8,-,s,n,0,2190,167
São Paulo,50,1,1,1,-,n,n,200,1000,0
São Paulo,200,3,2,4,-,s,n,0,3500,500
Rio de Janeiro,28,1,1,0,4,s,s,484,2200,0
São Paulo,65,1,2,2,3,n,s,950,3400,215
São Paulo,176,4,2,3,-,s,n,1225,5000,0
São Paulo,160,3,3,2,3,s,n,2200,10500,505
São Paulo,50,2,1,1,13,s,n,407,1715,12
São Paulo,47,2,1,1,1,n,n,560,1390,0
Porto Alegre,80,3,2,1,5,s,n,500,1800,0
São Paulo,25,1,1,0,-,s,n,0,1200,25
São Paulo,140,3,2,2,23,n,s,900,5000,142
Porto Alegre,62,2,2,0,2,s,n,400,1556,100
Belo Horizonte,296,4,3,2,-,s,n,0,13500,423
São Paulo,100,3,2,1,9,s,s,890,6502,0
Porto Alegre,40,1,1,0,3,s,s,350,750,42
São Paulo,78,2,2,2,8,s,s,1400,5800,334
São Paulo,115,2,2,2,10,n,s,1395,3800,259
Belo Horizonte,450,5,5,3,-,s,n,0,6500,542
Porto Alegre,87,3,3,2,5,s,n,1300,4000,150
São Paulo,50,1,1,0,-,s,n,0,810,34
São Paulo,44,1,1,1,13,n,s,2102,4300,477
São Paulo,27,1,1,0,11,s,n,585,2000,0
São Paulo,200,3,4,8,-,s,n,0,7000,25
Campinas,76,2,1,0,1,s,n,300,700,100
São Paulo,105,3,2,1,14,n,n,1130,3600,60
São Paulo,34,1,1,1,9,n,n,1200,1300,100
Rio de Janeiro,45,1,1,0,9,n,s,580,2500,75
Campinas,89,3,2,1,7,s,n,860,1800,70
Rio de Janeiro,40,1,1,0,1,s,n,379,1180,0
Porto Alegre,400,3,4,4,-,s,s,3000,12000,1100
São Paulo,64,3,1,1,2,s,n,470,1200,110
São Paulo,160,3,2,2,13,s,n,1200,3900,221
São Paulo,190,3,3,2,5,s,n,1800,3260,292
Rio de Janeiro,65,2,1,1,7,s,n,750,1400,59
São Paulo,120,3,2,1,5,s,n,1700,2500,347
Campinas,105,3,2,2,-,s,n,0,2000,121
Rio de Janeiro,56,2,2,0,1,n,s,610,2500,84
Porto Alegre,60,1,1,0,2,n,s,100,1170,0
Porto Alegre,81,2,1,0,2,s,n,350,1150,5
Campinas,60,2,1,1,8,n,s,500,3250,156
Rio de Janeiro,90,2,2,1,1,s,s,1424,2600,426
Campinas,110,3,2,2,7,n,n,900,2100,100
Rio de Janeiro,55,1,1,0,1,s,n,585,800,0
São Paulo,150,3,2,0,1,n,n,700,3000,42
Rio de Janeiro,217,3,3,2,5,s,s,2487,10300,600
Campinas,65,3,2,1,2,n,n,620,1100,60
São Paulo,67,3,2,1,16,s,n,600,1700,180
São Paulo,362,4,5,2,-,s,n,0,7000,834
Rio de Janeiro,80,2,3,1,12,s,s,850,4500,0
Porto Alegre,64,2,2,2,7,s,n,450,1600,34
São Paulo,40,1,1,0,-,n,n,0,780,17
São Paulo,40,1,1,0,-,n,n,0,1200,100
São Paulo,78,2,2,2,12,s,n,450,2700,0
Rio de Janeiro,100,3,1,2,1,s,n,1890,4500,213
Belo Horizonte,93,3,2,0,17,s,n,620,1750,99
São Paulo,60,2,1,1,6,s,n,660,2700,98
Porto Alegre,400,4,4,6,-,s,n,0,7000,209
São Paulo,884,5,7,6,8,s,n,9000,12750,5917
São Paulo,30,1,1,0,1,s,s,350,3300,0
Belo Horizonte,65,2,1,1,9,s,n,450,1545,94
São Paulo,82,2,2,1,2,s,s,750,3100,51
São Paulo,520,3,4,8,-,n,n,0,10000,1008
São Paulo,23,1,1,1,12,s,s,600,2800,99
São Paulo,60,2,2,1,11,s,n,1680,4000,200
São Paulo,73,2,1,1,8,s,n,525,1360,6
Belo Horizonte,100,3,3,1,3,s,n,300,1400,0
São Paulo,39,1,1,0,10,s,s,300,2000,0
São Paulo,49,2,1,1,15,s,n,487,1300,17
São Paulo,150,3,2,2,-,n,n,0,2500,0
Rio de Janeiro,82,2,1,1,11,s,n,750,1840,83
Porto Alegre,40,2,1,1,4,n,n,270,702,0
São Paulo,720,4,6,5,-,s,s,0,12750,2613
Belo Horizonte,540,5,4,8,-,s,n,0,7000,912
Campinas,68,1,1,1,10,n,s,600,1000,48
Campinas,51,1,1,0,3,s,n,486,740,15
São Paulo,140,3,4,3,18,s,n,1100,4000,489
Belo Horizonte,178,3,3,3,10,s,n,1840,7500,542
Porto Alegre,48,1,1,0,2,s,n,220,900,22
São Paulo,70,3,1,1,8,s,n,523,1100,0
Campinas,148,3,2,0,14,s,n,610,1700,102
São Paulo,240,3,2,2,17,n,n,2680,9800,667
São Paulo,550,4,7,3,-,s,s,0,11500,1650
São Paulo,99,2,1,1,14,s,n,800,1800,0
Rio de Janeiro,75,4,1,0,2,s,n,800,2200,34
São Paulo,400,3,4,3,-,s,n,0,10000,1189
Campinas,44,1,1,0,7,s,n,260,670,12
Rio de Janeiro,250,4,4,0,1,s,n,2000,5000,575
Campinas,48,1,1,0,4,n,n,400,800,80
São Paulo,300,3,3,5,-,s,n,0,5000,584
Belo Horizonte,54,2,1,2,2,s,n,114,900,120
Porto Alegre,185,3,4,2,-,s,n,164,2900,74
Belo Horizonte,550,3,3,5,-,s,n,0,7500,350
São Paulo,69,2,2,1,11,n,s,1000,4100,234
São Paulo,482,4,4,4,-,s,n,0,9180,1250
Rio de Janeiro,62,2,1,0,3,s,n,605,1200,197
São Paulo,400,4,4,3,-,s,n,0,9000,542
São Paulo,110,4,4,1,-,s,n,0,6800,167
São Paulo,50,2,2,1,14,s,n,520,1550,100
Porto Alegre,38,1,1,1,9,s,n,350,2500,42
São Paulo,40,1,1,1,8,n,s,1800,4800,350
São Paulo,130,3,2,1,12,s,n,1267,4500,334
Rio de Janeiro,56,2,1,1,18,s,n,568,1000,88
Porto Alegre,110,2,1,0,1,s,n,260,2100,92
São Paulo,380,4,3,2,12,n,s,5500,15000,1000
São Paulo,56,2,1,0,-,s,n,200,1400,0
São Paulo,530,4,5,6,-,s,n,0,5950,1200
Campinas,185,3,3,2,6,s,n,1200,2200,100
Rio de Janeiro,110,3,3,0,-,s,n,200,2400,57
São Paulo,88,2,2,2,8,s,s,1000,4500,134
São Paulo,25,1,1,0,23,s,n,432,2200,45
São Paulo,240,4,5,3,4,s,n,3500,15000,1250
Belo Horizonte,90,3,2,0,8,n,n,630,4200,150
Belo Horizonte,70,2,1,1,6,s,n,370,1100,103
São Paulo,32,1,1,0,-,n,n,280,1500,50
Belo Horizonte,260,4,4,3,8,n,n,1665,5250,440
São Paulo,163,3,3,3,8,s,s,1532,2550,417
Rio de Janeiro,82,2,2,1,4,s,n,1900,2400,334
São Paulo,233,4,5,4,7,s,s,3240,11000,92
São Paulo,39,1,1,0,3,s,s,350,1700,0
Belo Horizonte,70,3,2,2,1,s,n,554,1900,228
Rio de Janeiro,95,3,2,1,4,s,n,1602,5000,36
Belo Horizonte,100,3,2,1,1,s,n,288,1500,60
Campinas,55,2,1,1,3,s,n,344,950,20
Belo Horizonte,131,3,2,3,3,s,s,586,2750,351
Belo Horizonte,67,2,2,2,3,n,n,850,2800,0
São Paulo,130,3,2,2,5,s,n,1400,5000,584
São Paulo,200,4,5,3,1,n,n,2800,5500,997
São Paulo,512,4,6,5,8,s,s,7774,3500,2817
Rio de Janeiro,40,1,1,0,2,s,n,370,830,60
São Paulo,37,1,1,1,9,s,s,658,2700,145
São Paulo,145,2,2,1,3,s,s,670,4300,72
Rio de Janeiro,105,2,1,1,8,s,s,530,1960,46
São Paulo,320,4,5,4,-,s,n,300,6500,417
São Paulo,100,2,1,1,-,s,n,0,1900,84
Porto Alegre,43,1,1,1,18,s,s,600,3300,100
São Paulo,530,5,6,4,2,s,s,8300,15000,5000
São Paulo,38,1,1,1,13,s,s,300,2400,0
São Paulo,79,2,3,1,14,s,n,2500,3100,500
Rio de Janeiro,114,4,2,1,10,s,s,2500,3000,450
São Paulo,130,3,2,1,2,n,n,1100,4500,384
Rio de Janeiro,70,1,1,0,9,n,s,776,3400,77
Rio de Janeiro,72,2,1,1,7,s,n,765,1800,97
Porto Alegre,32,1,1,1,4,s,n,450,2500,42
Rio de Janeiro,110,3,2,1,8,s,n,1488,2500,190
Belo Horizonte,300,4,4,4,4,s,n,2200,10000,1114
Belo Horizonte,320,3,2,5,1,s,n,420,2900,200
Campinas,55,1,1,1,9,s,s,660,2600,73
São Paulo,178,3,2,1,2,n,n,1200,1900,180
Belo Horizonte,148,3,3,2,3,s,s,284,2500,104
São Paulo,41,3,2,1,1,n,s,0,6500,0
São Paulo,20,1,1,0,-,s,s,602,1800,130
São Paulo,224,4,5,3,12,s,n,9500,9500,1650
São Paulo,45,2,1,0,2,s,n,60,900,42
São Paulo,44,1,1,1,2,s,s,724,3000,89
São Paulo,200,3,4,3,18,s,s,2350,6200,1084
Porto Alegre,147,4,4,2,2,s,n,1100,1800,305
São Paulo,136,3,4,3,7,s,n,1400,5000,117
Campinas,100,2,2,1,11,s,n,0,2000,0
Porto Alegre,80,2,2,0,8,s,n,430,1320,121
Rio de Janeiro,25,1,1,0,-,s,n,50,700,0
Porto Alegre,30,1,1,0,11,s,n,260,1300,34
Porto Alegre,27,1,1,0,6,n,n,300,694,13
Porto Alegre,140,3,4,2,12,s,n,1990,3490,292
São Paulo,170,3,3,3,-,s,n,0,4200,239
Porto Alegre,117,3,3,2,9,s,s,1090,4000,329
São Paulo,36,1,1,1,8,s,n,410,1800,93
São Paulo,363,3,5,4,10,n,n,4040,3072,1112
São Paulo,158,4,4,3,3,s,n,2100,6600,375
São Paulo,157,3,3,4,19,s,n,1300,4900,725
Campinas,292,4,4,3,13,s,n,1650,3750,424
Campinas,400,4,4,3,-,s,n,1200,8700,458
Rio de Janeiro,180,3,3,1,2,s,n,2000,2910,459
Belo Horizonte,85,2,2,1,6,s,n,1105,1100,119
São Paulo,119,2,1,1,-,n,n,0,1700,84
Campinas,70,3,1,1,6,s,n,549,1200,0
Rio de Janeiro,200,4,2,2,-,s,n,0,4500,157
São Paulo,41,1,1,0,3,s,n,350,1760,45
Rio de Janeiro,48,1,1,1,6,s,s,0,2800,0
São Paulo,300,6,6,4,-,s,n,0,4700,584
São Paulo,70,1,1,2,9,s,s,2150,7000,542
São Paulo,500,3,3,5,-,s,n,0,8500,534
Porto Alegre,188,3,4,2,-,s,s,650,3800,0
São Paulo,113,2,2,1,4,s,n,1000,3000,50
São Paulo,400,4,3,4,-,s,n,0,3760,2084
Belo Horizonte,235,4,5,3,6,s,n,760,3300,496
Belo Horizonte,80,2,2,1,4,s,s,600,1500,109
Belo Horizonte,245,4,5,2,7,s,n,1400,2025,234
São Paulo,250,4,3,3,-,s,s,0,5000,334
Rio de Janeiro,33,1,1,0,2,n,s,0,2110,0
São Paulo,45,2,2,0,-,n,n,0,1650,84
São Paulo,300,5,5,4,-,s,s,0,6500,525
Porto Alegre,513,3,2,2,3,s,s,350,2900,100
Campinas,75,2,1,1,-,s,n,0,1080,80
São Paulo,136,3,3,2,5,s,n,1439,2200,339
Rio de Janeiro,54,2,1,1,9,s,n,560,1600,0
São Paulo,260,4,4,3,13,s,n,4070,15000,1500
Campinas,55,1,1,1,2,s,n,0,1195,0
São Paulo,31,1,1,0,16,n,n,330,1575,0
Rio de Janeiro,60,2,1,0,6,s,n,650,1300,0
São Paulo,240,3,3,4,-,s,s,0,8000,1000
São Paulo,150,2,2,2,-,s,n,0,2640,0
São Paulo,60,2,1,1,5,s,n,545,1210,75
Campinas,47,1,1,0,8,s,n,423,520,13
São Paulo,420,4,4,4,7,s,n,6000,12000,2000
São Paulo,35,1,1,0,-,n,n,0,1100,84
São Paulo,167,3,3,3,4,s,n,2334,1670,555
Porto Alegre,130,4,4,3,3,s,s,1600,10840,292
São Paulo,217,3,4,3,3,s,n,3400,1900,917
São Paulo,33,1,1,0,14,s,n,500,3999,0
Porto Alegre,140,3,2,2,3,s,n,686,3000,250
Belo Horizonte,80,3,2,2,1,n,s,400,2500,126
São Paulo,40,1,1,0,-,n,n,180,850,41
Rio de Janeiro,95,2,3,0,4,s,s,1700,6020,250
São Paulo,62,1,2,1,2,s,s,2061,11000,262
São Paulo,300,3,3,8,-,s,n,0,4675,400
São Paulo,33,1,1,1,12,s,s,565,3200,123
São Paulo,180,3,3,2,7,s,n,3000,7000,292
São Paulo,290,4,5,2,6,s,n,4300,10000,875
São Paulo,500,7,7,8,-,n,s,0,9000,1667
São Paulo,360,3,5,4,22,s,n,2330,3635,1644
Belo Horizonte,298,4,2,3,-,s,n,0,3044,186
São Paulo,161,1,2,2,10,n,n,2162,7000,54
São Paulo,395,4,4,3,16,s,s,2137,15000,834
São Paulo,230,3,3,2,-,s,n,0,2460,330
Porto Alegre,38,1,1,0,6,n,n,670,806,92
Belo Horizonte,54,2,1,1,1,s,n,100,800,58
Rio de Janeiro,20,1,1,0,10,s,s,214,2150,0
Rio de Janeiro,25,1,1,0,4,s,s,356,1984,55
São Paulo,150,3,2,4,-,s,n,0,9670,55
Belo Horizonte,386,3,4,8,-,s,n,0,6500,730
Campinas,360,4,6,4,-,s,n,864,7700,300
São Paulo,100,3,2,4,-,s,n,0,3880,255
São Paulo,55,2,1,1,5,s,n,640,1625,0
São Paulo,70,2,2,1,-,s,n,0,2100,9
Campinas,250,3,3,2,1,s,n,2200,1700,256
Porto Alegre,181,3,3,2,-,s,n,286,2400,1300
São Paulo,77,2,2,1,8,s,n,840,3170,34
Porto Alegre,43,1,1,0,4,n,s,290,2100,66
São Paulo,164,3,3,1,1,n,n,2389,6300,117
São Paulo,131,3,2,1,14,s,n,1685,4200,197
São Paulo,65,3,1,1,6,s,n,461,2530,90
São Paulo,55,2,1,1,2,n,n,470,1330,0
São Paulo,360,3,5,3,14,n,n,3000,12500,125
Rio de Janeiro,400,4,4,2,-,s,n,2000,15000,917
Rio de Janeiro,405,4,3,2,1,s,s,4032,14000,1649
São Paulo,16,1,1,0,1,n,n,0,850,9
São Paulo,200,3,2,3,-,s,n,0,2900,334
São Paulo,20,1,1,0,2,n,s,150,3142,67
Porto Alegre,290,4,4,3,-,s,n,0,2500,262
São Paulo,58,2,1,1,3,s,n,100,1200,0
Campinas,300,4,3,5,-,s,n,0,4100,20
São Paulo,57,2,2,1,8,s,n,358,2550,132
Belo Horizonte,102,3,2,2,6,s,n,1150,1100,0
Belo Horizonte,130,3,2,2,4,s,n,930,2200,260
São Paulo,400,7,7,0,-,s,n,0,14000,1667
São Paulo,340,4,5,4,2,s,n,2930,8000,1334
São Paulo,62,2,1,1,12,n,s,650,1236,34
Porto Alegre,88,2,1,0,1,s,s,270,1300,27
São Paulo,226,4,5,4,1,s,n,4360,15000,2242
Rio de Janeiro,85,2,1,0,1,s,n,460,1700,58
São Paulo,80,2,1,0,-,n,n,0,1400,100
Rio de Janeiro,120,3,2,1,2,s,s,2000,4500,325
Porto Alegre,240,3,2,4,-,s,n,0,5500,500
São Paulo,50,1,1,0,8,n,n,470,1970,0
São Paulo,33,1,1,1,14,s,s,600,2800,112
Rio de Janeiro,230,3,3,2,3,s,n,2100,9000,1000
São Paulo,120,3,4,2,-,s,n,187,3450,149
Rio de Janeiro,39,1,1,0,3,s,n,380,980,20
São Paulo,250,3,4,2,-,s,n,0,3000,233
Rio de Janeiro,60,2,2,1,12,s,n,840,1050,57
São Paulo,254,4,4,4,7,s,n,3366,9000,1800
Porto Alegre,47,1,1,1,19,n,n,650,2630,135
Belo Horizonte,266,4,3,4,-,s,n,0,4500,362
São Paulo,35,1,1,0,4,s,n,320,1700,0
São Paulo,310,4,3,3,11,s,n,3500,8000,0
Porto Alegre,47,1,1,1,1,n,s,400,2200,0
São Paulo,72,2,2,1,4,s,n,880,2100,27
São Paulo,350,4,2,8,-,s,n,0,7000,450
Rio de Janeiro,90,2,2,0,5,s,n,830,2500,84
São Paulo,87,3,3,2,12,n,s,930,3000,253
São Paulo,38,1,1,0,2,n,n,60,950,0
São Paulo,86,2,2,2,4,s,n,622,1950,267
São Paulo,90,3,2,2,1,s,n,1800,2730,334
São Paulo,230,2,3,3,17,s,s,2575,8000,633
São Paulo,38,1,1,0,-,s,s,150,1900,5
Rio de Janeiro,140,3,2,3,2,s,s,926,4235,145
Rio de Janeiro,26,1,1,0,7,s,s,630,1500,84
São Paulo,20,1,1,0,4,s,s,602,1800,130
Campinas,67,3,1,1,9,s,n,447,1200,26
São Paulo,50,2,1,0,5,s,n,515,1900,42
São Paulo,159,4,2,0,3,s,n,2064,1900,634
São Paulo,190,3,2,1,-,s,n,0,4100,84
Campinas,50,2,1,1,4,n,n,250,1500,35
São Paulo,130,2,2,2,3,s,n,1750,3000,284
São Paulo,245,4,3,4,8,s,n,3450,6000,1667
São Paulo,383,4,4,5,11,n,n,2189,3004,709
São Paulo,85,3,2,3,3,s,s,1100,1999,153
São Paulo,255,4,4,3,13,s,s,0,11900,0
São Paulo,50,2,1,1,-,n,n,0,1300,69
São Paulo,120,3,3,2,-,s,n,0,3500,122
São Paulo,420,5,4,4,7,s,n,8000,12000,200
São Paulo,440,6,7,0,-,s,n,0,5950,2320
São Paulo,150,2,2,1,-,s,n,0,2954,1
São Paulo,60,3,3,2,-,s,n,0,2700,273
São Paulo,70,2,2,1,2,n,s,2274,2980,437
São Paulo,49,2,1,1,10,n,n,513,1890,0
São Paulo,80,2,2,1,9,s,s,767,3200,213
